country,year,population,gdp per capita,unemployment rate,urbanization rate,inflation rate
Albania,2022,2777689,6810.11404104233,11.629,63.799,131.750834819418
Argentina,2022,46234830,13650.6046294524,6.805,92.347,
Australia,2022,26005540,65099.8459118981,3.7,86.488,132.466181061394
Austria,2022,9041851,52084.6811953372,4.99,59.256,133.513565675464
Belgium,2022,11685814,49926.8254295305,5.56,98.153,132.456219048303
Brazil,2022,215313498,8917.67491057495,9.23,87.555,204.482120615775
Bulgaria,2022,6465097,13974.4492487792,4.27,76.363,138.584408106261
Canada,2022,38929902,55522.445687688,5.28,81.752,129.858328563251
Chile,2022,19603733,15355.4797401048,8.25,87.912,158.625026875941
Colombia,2022,51874024,6624.16539269075,10.55,82.05,164.780806314133
Costa Rica,2022,5180829,13365.3563992692,11.32,82.042,142.944768574546
Croatia,2022,3855600,18570.4039968345,6.96,58.219,124.955261274159
Czechia,2022,10672118,27226.6156386023,2.22,74.377,143.612255868124
Denmark,2022,5903037,67790.0539923276,4.43,88.367,121.55164717436
Estonia,2022,1348840,28247.095992497,5.57,69.609,151.94333206325
Finland,2022,5556106,50871.9304508821,6.72,85.681,123.331790076698
France,2022,67971311,40886.2532680273,7.31,81.509,118.258283622798
Germany,2022,83797985,48717.9911402128,3.14,77.648,124.489744387368
Greece,2022,10426919,20867.2690861087,12.43,80.357,111.738622172264
Hungary,2022,9643048,18390.1849993244,3.61,72.552,151.411885949845
Iceland,2022,382003,73466.7786674708,3.79,93.992,150.087495958498
India,2022,1417173173,2410.88802070689,4.822,35.872,205.266241146235
Indonesia,2022,275501339,4787.99930771921,3.46,57.934,163.071752418121
Ireland,2022,5127170,103983.29133582,4.48,64.183,117.221883969731
Israel,2022,9557500,54930.9388075096,3.695,92.763,113.939796790428
Italy,2022,58940425,34776.423234274,8.07,71.657,121.771084752039
Jamaica,2022,2827377,6047.2164567796,5.499,57.008,199.742721733243
Japan,2022,125124989,34017.2718075024,2.6,91.955,107.839690631042
"Korea, Rep.",2022,51628117,32422.5744864287,2.86,81.427,124.707662146204
Kosovo,2022,1761985,5340.26879794836,,,136.426245250384
Latvia,2022,1879383,21779.5042572825,6.81,68.54,141.886081804437
Lithuania,2022,2831639,25064.808914729,5.96,68.465,150.12636507601
Luxembourg,2022,653103,125006.021815486,4.58,91.881,126.501046501047
Malta,2022,531113,34127.5105566356,2.92,94.875,123.018580023951
Mexico,2022,127504125,11496.5228716049,3.26,81.3,166.890369321443
Mongolia,2022,3398366,5045.50470031666,6.21,68.93,251.172516573854
Netherlands,2022,17700982,57025.01245598,3.52,92.886,132.577542831667
Norway,2022,5457127,108729.18690323,3.23,83.664,133.32730069677
Philippines,2022,115559009,3498.5098055874,2.375,47.977,145.965868357034
Poland,2022,36821749,18688.0044867103,2.89,60.134,141.807246589409
Portugal,2022,10409704,24515.2658507319,6.01,67.381,120.783990313085
Romania,2022,19047009,15786.8017421977,5.61,54.489,151.866303747835
Serbia,2022,6664449,9537.68286673128,8.684,56.873,170.482256596906
Singapore,2022,5637022,82807.6290622897,3.59,100.0,123.980978131334
Slovak Republic,2022,5431752,21256.8084273666,6.14,53.909,136.768113531792
Slovenia,2022,2111986,28439.3340989687,4.01,55.751,123.110404802896
Spain,2022,47778340,29674.5442864413,12.92,81.304,123.591728295232
Sweden,2022,10486941,56424.2846986686,7.39,88.492,122.957183435409
Switzerland,2022,8775760,93259.9057183024,4.3,74.092,102.21728177187
Thailand,2022,71697030,6909.9562847948,0.94,52.889,120.59868874216
United Kingdom,2022,66971395,46125.2557513568,3.73,84.398,133.660070279268
United States,2022,333287557,76329.5822652029,3.65,83.084,134.21120616846
Uruguay,2022,3422794,20795.0423535553,7.87,95.688,261.824349714601
